RANK,CARRIER,SENTENCE1,SENTENCE2,ID_OLD1,ID_OLD2,ID,CXN,TARGET,ALT1,ALT2,LEX,PERSON,SOURCE,AGENTIVITY,GENERICITY,LIST,PREF,ASSOC,COLL.STR,RATIO,CHECK,EXP,LENGTH,LENGTH.S1,LENGTH.S2,DIFF
72,The red flowers we planted,are <b>smaller</b> than the blue ones.,are <b>more small</b> than the blue ones.,2,66,66,comparative,filler,morph,per,small,,attributive,,,4,morph,alt1.strong,-1982.12906,0.000566829,yes,-40,11,6,7,-1
73,"Because he ignored the problem, it grew",<b>bigger</b> by the hour.,<b>more big</b> by the hour.,3,67,67,comparative,filler,morph,per,big,,attributive,,,1,morph,alt1.strong,-990.05078,0.000223864,yes,-30,11,4,5,-1
74,"Because he ignored the problem, it grew",<b>bigger</b> by the hour.,<b>more big</b> by the hour.,3,67,67,comparative,filler,morph,per,big,,predicative,,,2,morph,alt1.strong,-990.05078,0.000223864,yes,-30,11,4,5,-1
75,"Because he ignored the problem, it grew",<b>bigger</b> by the hour.,<b>more big</b> by the hour.,3,67,67,comparative,filler,morph,per,big,,predicative,,,3,morph,alt1.strong,-990.05078,0.000223864,yes,-30,11,4,5,-1
76,"Because he ignored the problem, it grew",<b>bigger</b> by the hour.,<b>more big</b> by the hour.,3,67,67,comparative,filler,morph,per,big,,attributive,,,4,morph,alt1.strong,-990.05078,0.000223864,yes,-30,11,4,5,-1
77,The conditions are good and it was never,<b>easier</b> to create a start-up.,<b>more easy</b> to create a start-up.,4,68,68,comparative,filler,morph,per,easy,,predicative,,,1,morph,alt1.strong,-614.31272,0.006898251,yes,-30,13,5,6,-1
78,The conditions are good and it was never,<b>easier</b> to create a start-up.,<b>more easy</b> to create a start-up.,4,68,68,comparative,filler,morph,per,easy,,attributive,,,2,morph,alt1.strong,-614.31272,0.006898251,yes,-30,13,5,6,-1
79,The conditions are good and it was never,<b>easier</b> to create a start-up.,<b>more easy</b> to create a start-up.,4,68,68,comparative,filler,morph,per,easy,,attributive,,,3,morph,alt1.strong,-614.31272,0.006898251,yes,-30,13,5,6,-1
80,The conditions are good and it was never,<b>easier</b> to create a start-up.,<b>more easy</b> to create a start-up.,4,68,68,comparative,filler,morph,per,easy,,predicative,,,4,morph,alt1.strong,-614.31272,0.006898251,yes,-30,13,5,6,-1
81,The strawberries in our garden,are <b>sweeter</b> than those from the shop.,are <b>more sweet</b> than those from the shop.,5,69,69,comparative,filler,morph,per,sweet,,attributive,,,1,morph,alt1.weak,-21.88549,0.01257862,yes,-30,12,7,8,-1
82,The strawberries in our garden,are <b>sweeter</b> than those from the shop.,are <b>more sweet</b> than those from the shop.,5,69,69,comparative,filler,morph,per,sweet,,attributive,,,2,morph,alt1.weak,-21.88549,0.01257862,yes,-30,12,7,8,-1
83,The strawberries in our garden,are <b>sweeter</b> than those from the shop.,are <b>more sweet</b> than those from the shop.,5,69,69,comparative,filler,morph,per,sweet,,predicative,,,3,morph,alt1.weak,-21.88549,0.01257862,yes,-30,12,7,8,-1
84,The strawberries in our garden,are <b>sweeter</b> than those from the shop.,are <b>more sweet</b> than those from the shop.,5,69,69,comparative,filler,morph,per,sweet,,predicative,,,4,morph,alt1.weak,-21.88549,0.01257862,yes,-30,12,7,8,-1
85,The air in the morning is,<b>fresher</b> than in the evening.,<b>more fresh</b> than in the evening.,6,70,70,comparative,filler,morph,per,fresh,,predicative,,,1,morph,alt1.weak,-15.76847,0.02040816,,,11,5,6,-1
86,The air in the morning is,<b>fresher</b> than in the evening.,<b>more fresh</b> than in the evening.,6,70,70,comparative,filler,morph,per,fresh,,predicative,,,2,morph,alt1.weak,-15.76847,0.02040816,,,11,5,6,-1
87,The air in the morning is,<b>fresher</b> than in the evening.,<b>more fresh</b> than in the evening.,6,70,70,comparative,filler,morph,per,fresh,,attributive,,,3,morph,alt1.weak,-15.76847,0.02040816,,,11,5,6,-1
88,The air in the morning is,<b>fresher</b> than in the evening.,<b>more fresh</b> than in the evening.,6,70,70,comparative,filler,morph,per,fresh,,attributive,,,4,morph,alt1.weak,-15.76847,0.02040816,,,11,5,6,-1
89,Our old history teacher was,<b>funnier</b> than our maths teacher.,<b>more funny</b> than our maths teacher.,7,71,71,comparative,filler,morph,per,funny,,attributive,,,1,none,none,-0.00053,0.1025641,,,10,5,6,-1
90,Our old history teacher was,<b>funnier</b> than our maths teacher.,<b>more funny</b> than our maths teacher.,7,71,71,comparative,filler,morph,per,funny,,predicative,,,2,none,none,-0.00053,0.1025641,,,10,5,6,-1
91,Our old history teacher was,<b>funnier</b> than our maths teacher.,<b>more funny</b> than our maths teacher.,7,71,71,comparative,filler,morph,per,funny,,predicative,,,3,none,none,-0.00053,0.1025641,,,10,5,6,-1
92,Our old history teacher was,<b>funnier</b> than our maths teacher.,<b>more funny</b> than our maths teacher.,7,71,71,comparative,filler,morph,per,funny,,attributive,,,4,none,none,-0.00053,0.1025641,,,10,5,6,-1
93,We are disappointed that our new neighbors,are <b>ruder</b> than the old ones.,are <b>more rude</b> than the old ones.,8,72,72,comparative,filler,morph,per,rude,,predicative,,,1,none,none,0.26923,0.133333333,,,13,6,7,-1
94,We are disappointed that our new neighbors,are <b>ruder</b> than the old ones.,are <b>more rude</b> than the old ones.,8,72,72,comparative,filler,morph,per,rude,,attributive,,,2,none,none,0.26923,0.133333333,,,13,6,7,-1
95,We are disappointed that our new neighbors,are <b>ruder</b> than the old ones.,are <b>more rude</b> than the old ones.,8,72,72,comparative,filler,morph,per,rude,,attributive,,,3,none,none,0.26923,0.133333333,,,13,6,7,-1
96,We are disappointed that our new neighbors,are <b>ruder</b> than the old ones.,are <b>more rude</b> than the old ones.,8,72,72,comparative,filler,morph,per,rude,,predicative,,,4,none,none,0.26923,0.133333333,,,13,6,7,-1
97,The situation at work,is getting <b>weirder</b> every day.,is getting <b>more weird</b> every day.,9,73,73,comparative,filler,morph,per,weird,,attributive,,,1,none,none,0.84976,0.15625,,,9,5,6,-1
98,The situation at work,is getting <b>weirder</b> every day.,is getting <b>more weird</b> every day.,9,73,73,comparative,filler,morph,per,weird,,attributive,,,2,none,none,0.84976,0.15625,,,9,5,6,-1
99,The situation at work,is getting <b>weirder</b> every day.,is getting <b>more weird</b> every day.,9,73,73,comparative,filler,morph,per,weird,,predicative,,,3,none,none,0.84976,0.15625,,,9,5,6,-1
100,The situation at work,is getting <b>weirder</b> every day.,is getting <b>more weird</b> every day.,9,73,73,comparative,filler,morph,per,weird,,predicative,,,4,none,none,0.84976,0.15625,,,9,5,6,-1
101,My new green jacket is,<b>comfier</b> than the blue one.,<b>more comfy</b> than the blue one.,10,74,74,comparative,filler,morph,per,comfy,,predicative,,,1,none,alt2.weak,11.20532,0.5555556,,,10,5,6,-1
102,My new green jacket is,<b>comfier</b> than the blue one.,<b>more comfy</b> than the blue one.,10,74,74,comparative,filler,morph,per,comfy,,predicative,,,2,none,alt2.weak,11.20532,0.5555556,,,10,5,6,-1
103,My new green jacket is,<b>comfier</b> than the blue one.,<b>more comfy</b> than the blue one.,10,74,74,comparative,filler,morph,per,comfy,,attributive,,,3,none,alt2.weak,11.20532,0.5555556,,,10,5,6,-1
104,My new green jacket is,<b>comfier</b> than the blue one.,<b>more comfy</b> than the blue one.,10,74,74,comparative,filler,morph,per,comfy,,attributive,,,4,none,alt2.weak,11.20532,0.5555556,,,10,5,6,-1
105,The weather forecast said that it will be,<b>cloudier</b> tomorrow afternoon.,<b>more cloudy</b> tomorrow afternoon.,11,75,75,comparative,filler,morph,per,cloudy,,attributive,,,1,per,alt2.weak,21.91558,0.6666667,,,11,3,4,-1
106,The weather forecast said that it will be,<b>cloudier</b> tomorrow afternoon.,<b>more cloudy</b> tomorrow afternoon.,11,75,75,comparative,filler,morph,per,cloudy,,predicative,,,2,per,alt2.weak,21.91558,0.6666667,,,11,3,4,-1
107,The weather forecast said that it will be,<b>cloudier</b> tomorrow afternoon.,<b>more cloudy</b> tomorrow afternoon.,11,75,75,comparative,filler,morph,per,cloudy,,predicative,,,3,per,alt2.weak,21.91558,0.6666667,,,11,3,4,-1
108,The weather forecast said that it will be,<b>cloudier</b> tomorrow afternoon.,<b>more cloudy</b> tomorrow afternoon.,11,75,75,comparative,filler,morph,per,cloudy,,attributive,,,4,per,alt2.weak,21.91558,0.6666667,,,11,3,4,-1
109,"After he quit his job, he became even",<b>unhappier</b> than before.,<b>more unhappy</b> than before.,12,76,76,comparative,filler,morph,per,unhappy,,predicative,,,1,per,alt2.weak,39.53128,0.5454545,,,11,3,4,-1
110,"After he quit his job, he became even",<b>unhappier</b> than before.,<b>more unhappy</b> than before.,12,76,76,comparative,filler,morph,per,unhappy,,attributive,,,2,per,alt2.weak,39.53128,0.5454545,,,11,3,4,-1
111,"After he quit his job, he became even",<b>unhappier</b> than before.,<b>more unhappy</b> than before.,12,76,76,comparative,filler,morph,per,unhappy,,attributive,,,3,per,alt2.weak,39.53128,0.5454545,,,11,3,4,-1
112,"After he quit his job, he became even",<b>unhappier</b> than before.,<b>more unhappy</b> than before.,12,76,76,comparative,filler,morph,per,unhappy,,predicative,,,4,per,alt2.weak,39.53128,0.5454545,,,11,3,4,-1
113,The proposed solution for the upgrade is,<b>costlier</b> than we expected.,<b>more costly</b> than we expected.,13,77,77,comparative,filler,morph,per,costly,,attributive,,,1,per,alt2.strong,279.3843,0.8118812,yes,30,11,4,5,-1
114,The proposed solution for the upgrade is,<b>costlier</b> than we expected.,<b>more costly</b> than we expected.,13,77,77,comparative,filler,morph,per,costly,,attributive,,,2,per,alt2.strong,279.3843,0.8118812,yes,30,11,4,5,-1
115,The proposed solution for the upgrade is,<b>costlier</b> than we expected.,<b>more costly</b> than we expected.,13,77,77,comparative,filler,morph,per,costly,,predicative,,,3,per,alt2.strong,279.3843,0.8118812,yes,30,11,4,5,-1
116,The proposed solution for the upgrade is,<b>costlier</b> than we expected.,<b>more costly</b> than we expected.,13,77,77,comparative,filler,morph,per,costly,,predicative,,,4,per,alt2.strong,279.3843,0.8118812,yes,30,11,4,5,-1
117,"Over the next few decades, <br/>heatwaves will become",<b>intenser</b> in most regions.,<b>more intense</b> in most regions.,14,78,78,comparative,filler,morph,per,intense,,predicative,,,1,per,alt2.strong,733.04992,0.9768786,yes,30,12,4,5,-1
118,"Over the next few decades, <br/>heatwaves will become",<b>intenser</b> in most regions.,<b>more intense</b> in most regions.,14,78,78,comparative,filler,morph,per,intense,,predicative,,,2,per,alt2.strong,733.04992,0.9768786,yes,30,12,4,5,-1
119,"Over the next few decades, <br/>heatwaves will become",<b>intenser</b> in most regions.,<b>more intense</b> in most regions.,14,78,78,comparative,filler,morph,per,intense,,attributive,,,3,per,alt2.strong,733.04992,0.9768786,yes,30,12,4,5,-1
120,"Over the next few decades, <br/>heatwaves will become",<b>intenser</b> in most regions.,<b>more intense</b> in most regions.,14,78,78,comparative,filler,morph,per,intense,,attributive,,,4,per,alt2.strong,733.04992,0.9768786,yes,30,12,4,5,-1
121,Extreme weather phenomena will become,<b>commoner</b> in the near future.,<b>more common</b> in the near future.,15,79,79,comparative,filler,morph,per,common,,attributive,,,1,per,alt2.strong,2289.75337,0.8905547,yes,40,10,5,6,-1
122,Extreme weather phenomena will become,<b>commoner</b> in the near future.,<b>more common</b> in the near future.,15,79,79,comparative,filler,morph,per,common,,predicative,,,2,per,alt2.strong,2289.75337,0.8905547,yes,40,10,5,6,-1
123,Extreme weather phenomena will become,<b>commoner</b> in the near future.,<b>more common</b> in the near future.,15,79,79,comparative,filler,morph,per,common,,predicative,,,3,per,alt2.strong,2289.75337,0.8905547,yes,40,10,5,6,-1
124,Extreme weather phenomena will become,<b>commoner</b> in the near future.,<b>more common</b> in the near future.,15,79,79,comparative,filler,morph,per,common,,attributive,,,4,per,alt2.strong,2289.75337,0.8905547,yes,40,10,5,6,-1
125,The cause of this disease is,<b>likelier</b> a combination of both.,<b>more likely</b> a combination of both.,16,80,80,comparative,filler,morph,per,likely,,predicative,,,1,per,alt2.strong,18523.69884,0.9954558,yes,40,11,5,6,-1
126,The cause of this disease is,<b>likelier</b> a combination of both.,<b>more likely</b> a combination of both.,16,80,80,comparative,filler,morph,per,likely,,attributive,,,2,per,alt2.strong,18523.69884,0.9954558,yes,40,11,5,6,-1
127,The cause of this disease is,<b>likelier</b> a combination of both.,<b>more likely</b> a combination of both.,16,80,80,comparative,filler,morph,per,likely,,attributive,,,3,per,alt2.strong,18523.69884,0.9954558,yes,40,11,5,6,-1
128,The cause of this disease is,<b>likelier</b> a combination of both.,<b>more likely</b> a combination of both.,16,80,80,comparative,filler,morph,per,likely,,predicative,,,4,per,alt2.strong,18523.69884,0.9954558,yes,40,11,5,6,-1
129,"Despite the hardships of grad school,",many <b>seem to enjoy</b> it a lot.,many <b>seem enjoying</b> it a lot.,33,81,81,complement,filler,to,ing,seem,,assoc,enjoy,,1,to,alt1.strong,-11350.13,0.002351679,yes,-40,13,7,6,1
130,"Since climate change is<br/>on the news often,",everybody <b>seems to think</b> about it more.,everybody <b>seems thinking</b> about it more.,33,81,81,complement,filler,to,ing,seem,,assoc,think,,2,to,alt1.strong,-11350.13,0.002351679,yes,-40,14,7,6,1
131,"Despite the pressure,",our bosses <b>seem to keep</b> their cool.,our bosses <b>seem keeping</b> their cool.,33,81,81,complement,filler,to,ing,seem,,rep,keep,,3,to,alt1.strong,-11350.13,0.002351679,yes,-40,10,7,6,1
